序号	时间标识	源通道	帧ID	帧类型	帧格式	CAN类型	方向	长度	数据
1	2023-03-23 19:26:25.332	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 0F AD 
2	2023-03-23 19:26:25.332	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 0F 3E 
3	2023-03-23 19:26:25.336	Ch0	0x323	标准帧	数据帧	CANFD加速	Rx	8	60 FF FE 0F FF FF 4F 46 
4	2023-03-23 19:26:25.336	Ch0	0x151	标准帧	数据帧	CANFD加速	Rx	8	00 FD FF 00 F0 FF 4F C5 
5	2023-03-23 19:26:25.336	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 09 C8 
6	2023-03-23 19:26:25.336	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 50 B1 
7	2023-03-23 19:26:25.339	Ch0	0x3CD	标准帧	数据帧	CANFD加速	Rx	8	60 00 FF FF FF FF 00 00 
8	2023-03-23 19:26:25.339	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 9F 66 
9	2023-03-23 19:26:25.343	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 1F 01 04 01 00 01 
10	2023-03-23 19:26:25.343	Ch0	0x4A9	标准帧	数据帧	CANFD加速	Rx	8	40 00 00 00 00 00 00 00 
11	2023-03-23 19:26:25.343	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 0F AC 
12	2023-03-23 19:26:25.343	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
13	2023-03-23 19:26:25.343	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
14	2023-03-23 19:26:25.343	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
15	2023-03-23 19:26:25.343	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 00 DA 
16	2023-03-23 19:26:25.346	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 01 72 
17	2023-03-23 19:26:25.346	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F 00 F3 
18	2023-03-23 19:26:25.346	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 CF 17 
19	2023-03-23 19:26:25.350	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 1F 01 04 01 00 01 
20	2023-03-23 19:26:25.350	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 60 A1 
21	2023-03-23 19:26:25.350	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 C0 EF 
22	2023-03-23 19:26:25.354	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 29 01 05 01 00 02 
23	2023-03-23 19:26:25.354	Ch0	0x261	标准帧	数据帧	CANFD加速	Rx	8	51 0D 7C 30 02 1E 10 C5 
24	2023-03-23 19:26:25.354	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 1F E0 
25	2023-03-23 19:26:25.359	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 BF 40 
26	2023-03-23 19:26:25.359	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 29 01 05 01 00 02 
27	2023-03-23 19:26:25.359	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 1E 01 06 01 00 02 
28	2023-03-23 19:26:25.361	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 70 91 
29	2023-03-23 19:26:25.361	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF AF 56 
30	2023-03-23 19:26:25.361	Ch0	0x427	标准帧	数据帧	CANFD加速	Rx	8	02 33 10 00 20 46 D0 07 
31	2023-03-23 19:26:25.365	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 1E 01 06 01 00 02 
32	2023-03-23 19:26:25.365	Ch0	0x248	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 9F 60 
33	2023-03-23 19:26:25.365	Ch0	0x26F	标准帧	数据帧	CANFD加速	Rx	8	FF FF 3F A1 03 1B 30 D3 
34	2023-03-23 19:26:25.369	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
35	2023-03-23 19:26:25.369	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 06 01 07 01 00 02 
36	2023-03-23 19:26:25.369	Ch0	0x288	标准帧	数据帧	CANFD加速	Rx	48	50 FF 9B 50 FF 9B 50 FF 9B 50 FF 9B 05 05 05 05 46 46 46 46 00 00 00 00 00 00 50 FF 9B 05 46 00 00 00 00 00 00 00 80 E0 02 00 E0 FF FF FF FF FF 
37	2023-03-23 19:26:25.369	Ch0	0x4A5	标准帧	数据帧	CANFD加速	Rx	8	0B 02 00 00 00 50 E7 FB 
38	2023-03-23 19:26:25.369	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF AF 8F 
39	2023-03-23 19:26:25.373	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 80 81 
40	2023-03-23 19:26:25.373	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 D0 DF 
41	2023-03-23 19:26:25.373	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 06 01 07 01 00 02 
42	2023-03-23 19:26:25.376	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 24 01 08 01 00 02 
43	2023-03-23 19:26:25.376	Ch0	0x1B0	标准帧	数据帧	CANFD加速	Rx	8	12 06 24 01 08 01 00 02 
