0x102,"[32, 35, 48, 51]"
0x10e,"[8, 11, 16, 59]"
0x122,"[0, 7, 12, 20]"
0x190,"[16, 21, 24, 37, 52, 63]"
0x280,"[1, 3, 16, 63]"
0x281,"[0, 1, 8, 11, 16, 63]"
0x282,"[0, 17, 24, 32, 40, 63]"
0x2f0,"[0, 14, 16, 63]"
0x388,"[8, 11, 16, 63]"
0x400,"[0, 9, 16, 29, 32, 63]"
0x505,"[0, 63]"
0x50a,"[0, 63]"
0x50f,"[0, 63]"
0x514,"[0, 63]"
0x51e,"[0, 23, 25, 63]"
0x523,"[0, 63]"
0x7df,"[0, 63]"
0x7e8,"[0, 25, 32, 63]"
0x7e9,"[0, 25, 32, 63]"
0x90,"[2, 3, 16, 63]"
0x91,"[16, 33]"
0x96,"[16, 63]"
0xa0,"[40, 40, 53, 55]"
0xa1,"[48, 63]"
0xb0,"[32, 34]"
0xb1,"[32, 37, 48, 51, 62, 62]"
0xb2,"[8, 10]"
0xf0,"[0, 11]"
