ID	数据域位置	数据变化值
0x12d	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x12d	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x12d	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x12d	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x12d	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x12d	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x12d	6	[16, 31, 61, 121, 0, 0, 0, 0]
0x12d	7	[15, 30, 60, 121, 0, 0, 0, 0]
0x144	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x144	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x144	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x144	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x144	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x144	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x144	6	[66, 131, 263, 525, 0, 0, 0, 0]
0x144	7	[65, 131, 262, 525, 0, 0, 0, 0]
0x151	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x151	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x151	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x151	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x151	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x151	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x151	6	[8, 15, 30, 60, 0, 0, 0, 0]
0x151	7	[7, 15, 30, 60, 0, 0, 0, 0]
0x1c2	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x1c2	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x1c2	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x1c2	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x1c2	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x1c2	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x1c2	6	[15, 30, 61, 123, 0, 0, 0, 0]
0x1c2	7	[16, 31, 62, 123, 0, 0, 0, 0]
0x1e0	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x1e0	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x1e0	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x1e0	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x1e0	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x1e0	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x1e0	6	[0, 0, 0, 0, 0, 0, 0, 0]
0x1e0	7	[0, 0, 0, 0, 0, 0, 0, 0]
0x235	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x235	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x235	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x235	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x235	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x235	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x235	6	[15, 31, 61, 121, 0, 0, 0, 0]
0x235	7	[15, 31, 61, 121, 0, 0, 0, 0]
0x23a	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x23a	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x23a	2	[0, 0, 0, 0, 0, 0, 0, 0]
