ID	数据域
0x12d	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07239819004524888, 0.14027149321266968, 0.27601809954751133, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0, 0.06787330316742081, 0.13574660633484162, 0.27149321266968324, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0]
0x144	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06811145510835913, 0.13519091847265222, 0.2714138286893705, 0.541795665634675, 0.0, 0.0, 0.0, 0.0, 0.06707946336429309, 0.13519091847265222, 0.27038183694530443, 0.541795665634675, 0.0, 0.0, 0.0, 0.0]
0x151	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07207207207207207, 0.13513513513513514, 0.2702702702702703, 0.5405405405405406, 0.0, 0.0, 0.0, 0.0, 0.06306306306306306, 0.13513513513513514, 0.2702702702702703, 0.5405405405405406, 0.0, 0.0, 0.0, 0.0]
0x1c2	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06696428571428571, 0.13392857142857142, 0.27232142857142855, 0.5491071428571429, 0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.13839285714285715, 0.2767857142857143, 0.5491071428571429, 0.0, 0.0, 0.0, 0.0]
0x1e0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0x235	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06787330316742081, 0.14027149321266968, 0.27601809954751133, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0, 0.06787330316742081, 0.14027149321266968, 0.27601809954751133, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0]
0x23a	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06787330316742081, 0.13574660633484162, 0.27149321266968324, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0, 0.06787330316742081, 0.13574660633484162, 0.27149321266968324, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0]
0x248	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06787330316742081, 0.13574660633484162, 0.27601809954751133, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0, 0.06787330316742081, 0.13574660633484162, 0.27601809954751133, 0.5475113122171946, 0.0, 0.0, 0.0, 0.0]
0x25d	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06818181818181818, 0.13636363636363635, 0.2746212121212121, 0.5473484848484849, 0.0, 0.0, 0.0, 0.0, 0.06818181818181818, 0.13636363636363635, 0.2727272727272727, 0.5473484848484849, 0.0, 0.0, 0.0, 0.0]
0x261	[0.0, 0.013513513513513514, 0.013513513513513514, 0.009009009009009009, 0.0, 0.0045045045045045045, 0.009009009009009009, 0.009009009009009009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0045045045045045045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013513513513513514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06756756756756757, 0.13513513513513514, 0.2747747747747748, 0.5495495495495496, 0.0, 0.0, 0.0, 0.0, 0.06756756756756757, 0.13513513513513514, 0.27927927927927926, 0.5405405405405406, 0.0, 0.013513513513513514, 0.009009009009009009, 0.009009009009009009]
