ID	数据域
0x12d	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.2041199826559246, 1.4913616938342726, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20]
0x144	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.8195439355418683, 2.117271295655764, 2.4199557484897576, 2.7201593034059566, -20, -20, -20, -20, 1.8129133566428552, 2.117271295655764, 2.4183012913197452, 2.7201593034059566, -20, -20, -20, -20]
0x151	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 0.9030899869919434, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, -20, -20, -20, -20, 0.8450980400142567, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, -20, -20, -20, -20]
0x1c2	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.0899051114393976, -20, -20, -20, -20, 1.2041199826559246, 1.4913616938342726, 1.7923916894982537, 2.0899051114393976, -20, -20, -20, -20]
0x1e0	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20]
0x235	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4913616938342726, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4913616938342726, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20]
0x23a	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7781512503836434, 2.08278537031645, -20, -20, -20, -20]
0x248	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.08278537031645, -20, -20, -20, -20]
0x25d	[-20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 1.556302500767287, 1.8573324964312683, 2.1613680022349744, 2.4608978427565478, -20, -20, -20, -20, 1.556302500767287, 1.8573324964312683, 2.1583624920952493, 2.4608978427565478, -20, -20, -20, -20]
0x261	[-20, 0.47712125471966244, 0.47712125471966244, 0.30102999566398114, -20, 0.0, 0.30102999566398114, 0.30102999566398114, -20, -20, -20, -20, -20, -20, -20, 0.0, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 0.47712125471966244, -20, -20, -20, -20, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.785329835010767, 2.086359830674748, -20, -20, -20, -20, 1.1760912590556811, 1.4771212547196624, 1.7923916894982537, 2.0791812460476247, -20, 0.47712125471966244, 0.30102999566398114, 0.30102999566398114]
