ID	数据域
0x12d	[(0, 51), (52, 59), (60, 63)]
0x144	[(0, 51), (52, 59), (60, 63)]
0x151	[(0, 51), (52, 59), (60, 63)]
0x1c2	[(0, 51), (52, 59), (60, 63)]
0x1e0	[(0, 63)]
0x235	[(0, 51), (52, 59), (60, 63)]
0x23a	[(0, 51), (52, 59), (60, 63)]
0x248	[(0, 51), (52, 59), (60, 63)]
0x25d	[(0, 51), (52, 59), (60, 63)]
0x261	[(0, 2), (3, 3), (4, 7), (8, 15), (16, 39), (40, 51), (52, 59), (60, 61), (62, 63)]
0x26f	[(0, 51), (52, 59), (60, 63)]
0x275	[(0, 51), (52, 59), (60, 63)]
0x27b	[(0, 63)]
0x287	[(0, 51), (52, 59), (60, 63)]
0x28f	[(0, 51), (52, 59), (60, 63)]
0x294	[(0, 55), (56, 63)]
0x296	[(0, 51), (52, 59), (60, 63)]
0x2a6	[(0, 51), (52, 59), (60, 63)]
0x2b0	[(0, 51), (52, 59), (60, 63)]
0x2b6	[(0, 47), (48, 63)]
0x2c0	[(0, 51), (52, 59), (60, 63)]
0x2d4	[(0, 63)]
0x2d7	[(0, 51), (52, 59), (60, 63)]
0x2dd	[(0, 63)]
0x2e9	[(0, 63)]
0x2ec	[(0, 63)]
0x31d	[(0, 51), (52, 59), (60, 63)]
0x31e	[(0, 63)]
0x323	[(0, 51), (52, 59), (60, 63)]
0x33f	[(0, 63)]
0x388	[(0, 63)]
0x38a	[(0, 63)]
0x3a7	[(0, 63)]
0x3b4	[(0, 63)]
0x3c5	[(0, 63)]
0x3cd	[(0, 7), (8, 63)]
0x3d8	[(0, 63)]
0x3d9	[(0, 6), (7, 8), (9, 13), (14, 16), (17, 21), (22, 34), (35, 36), (37, 40), (41, 45), (46, 48), (49, 50), (51, 55), (56, 57), (58, 59), (60, 63)]
0x3da	[(0, 63)]
0x3ff	[(0, 63)]
0x404	[(0, 59), (60, 63)]
0x407	[(0, 63)]
0x409	[(0, 6), (7, 63)]
0x41a	[(0, 63)]
0x41c	[(0, 63)]
0x41f	[(0, 63)]
0x421	[(0, 63)]
0x426	[(0, 63)]
0x427	[(0, 7), (8, 8), (9, 10), (11, 11), (12, 14), (15, 16), (17, 18), (19, 20), (21, 21), (22, 22), (23, 26), (27, 27), (28, 31), (32, 34), (35, 39), (40, 42), (43, 43), (44, 47), (48, 51), (52, 55), (56, 62), (63, 63)]
0x42e	[(0, 47), (48, 63)]
0x433	[(0, 63)]
0x434	[(0, 51), (52, 59), (60, 63)]
0x43e	[(0, 63)]
0x475	[(0, 63)]
0x48e	[(0, 63)]
0x494	[(0, 63)]
0x49a	[(0, 63)]
0x4a4	[(0, 7), (8, 63)]
0x4a5	[(0, 6), (7, 7), (8, 11), (12, 13), (14, 16), (17, 17), (18, 19), (20, 22), (23, 25), (26, 27), (28, 30), (31, 33), (34, 35), (36, 38), (39, 41), (42, 44), (45, 47), (48, 48), (49, 50), (51, 52), (53, 56), (57, 57), (58, 59), (60, 60), (61, 63)]
0x4a6	[(0, 63)]
0x4a9	[(0, 63)]
0x4b9	[(0, 63)]
0x4bf	[(0, 7), (8, 15), (16, 63)]
0x4d3	[(0, 63)]
0x4d8	[(0, 63)]
0x4d9	[(0, 9), (10, 16), (17, 18), (19, 20), (21, 22), (23, 25), (26, 28), (29, 31), (32, 37), (38, 47), (48, 63)]
0x4de	[(0, 63)]
0x4e1	[(0, 63)]
0x4e6	[(0, 63)]
0x4f9	[(0, 63)]
0x4fa	[(0, 63)]
0x4fe	[(0, 63)]
0x510	[(0, 63)]
0x511	[(0, 63)]
0x55	[(0, 59), (60, 63)]
